Subject,Time,Cluster,Cat01_Default_DefaultMode_LP__R__Mean,Cat01_Default_DefaultMode_LP__L__Mean,Cat01_Default_DefaultMode_PCC_Mean,Cat01_Default_DefaultMode_MPFC_Mean,Cat02_Memory_Emotion_Amygdala_l_Mean,Cat02_Memory_Emotion_Amygdala_r_Mean,Cat02_Memory_Emotion_Brain_Stem_Mean,Cat02_Memory_Emotion_Hippocampus_r_Mean,Cat02_Memory_Emotion_Hippocampus_l_Mean,Cat02_Memory_Emotion_pPaHC_l_Mean,Cat02_Memory_Emotion_pPaHC_r_Mean,Cat02_Memory_Emotion_aPaHC_r_Mean,Cat02_Memory_Emotion_aPaHC_l_Mean,Cat03_Reward_NAc_L_Mean,Cat03_Reward_NAc_both_Mean,Cat03_Reward_NAc_R_Mean,Cat04_Relay_Thalamus_r_Mean,Cat04_Relay_Thalamus_l_Mean,Cat05_Compulsion_Caudate_l_Mean,Cat05_Compulsion_Caudate_r_Mean,Cat06_Automaticity_Pallidum_l_Mean,Cat06_Automaticity_Pallidum_r_Mean,Cat06_Automaticity_Putamen_l_Mean,Cat06_Automaticity_Putamen_r_Mean,Cat07_Attention_DorsalAttention_FEF__L__Mean,Cat07_Attention_DorsalAttention_FEF__R__Mean,Cat07_Attention_DorsalAttention_IPS__R__Mean,Cat07_Attention_DorsalAttention_IPS__L__Mean,Cat08_Salience_Salience_AInsula__L__Mean,Cat08_Salience_Salience_AInsula__R__Mean,Cat08_Salience_Salience_ACC_Mean,Cat08_Salience_Salience_RPFC__R__Mean,Cat08_Salience_Salience_RPFC__L__Mean,Cat08_Salience_Salience_SMG__L__Mean,Cat08_Salience_Salience_SMG__R__Mean,Cat09_Execution_FrontoParietal_PPC__R__Mean,Cat09_Execution_FrontoParietal_PPC__L__Mean,Cat09_Execution_FrontoParietal_LPFC__R__Mean,Cat09_Execution_FrontoParietal_LPFC__L__Mean,Cat10_Regulation_IFG_tri_r_Mean,Cat10_Regulation_IFG_tri_l_Mean,Cat10_Regulation_IFG_oper_l_Mean,Cat10_Regulation_IFG_oper_r_Mean,Cat10_Regulation_FOrb_r_Mean,Cat10_Regulation_FOrb_l_Mean
sub_02,Pre,3,0.30763346,0.09288444,0.12649707,0.24181499,0.23295546,0.33468792,0.041048035,0.06614619,0.042081386,-0.022605767,-0.09741393,0.036225524,0.015183787,0.56915766,0.49858224,0.42800683,0.28493673,0.14727321,0.29888248,0.3452421,0.13116695,0.10807062,0.19161339,0.29268965,-0.0033623176,0.0026190104,-0.059905764,-0.021928802,-0.10842508,0.08374664,0.34308603,0.11459058,0.054301444,-0.021194417,-0.29476434,-0.053873446,0.033351824,0.0344043,0.04276066,0.23772377,0.013963982,0.22705954,0.17743991,0.3103807,0.1735638
sub_02,post7d,3,-0.058435783,0.14356884,0.03573291,0.12534758,0.2853428,-0.048903465,0.16805318,0.03212271,0.29564884,0.31086597,0.12383796,0.090804495,-0.0010022531,0.09013399,0.09820036,0.10626674,0.4954157,0.2935804,0.22936265,0.23471664,0.06201909,0.27350986,0.16354057,0.20119838,0.32584143,0.11773567,-0.014441532,0.12284097,0.4759991,0.68689424,0.3614334,0.11362058,0.19664326,0.29809192,0.048977796,-0.12678494,-0.084757015,-0.103495695,-0.011531315,0.240481,0.21577427,0.3028061,0.35416916,0.27099833,0.22949314
sub_02,post3m,3,-0.043576065,-0.11885039,0.31458643,-0.05653061,0.82836556,1.1281195,-0.07929731,0.16879986,-0.030107059,-0.09265686,0.6374735,-0.12945656,-0.22999935,0.4146796,0.395577,0.37647444,0.2525521,0.0761605,0.23079012,0.12424818,0.26255715,0.41374132,0.29542413,0.41986573,0.97372127,0.7154159,-0.0065906257,0.18436101,0.023623334,0.64668643,0.23335701,0.08521126,0.34073898,-0.002455396,0.12314077,-0.10999927,-0.018161066,0.090099506,0.20579503,0.5407553,0.13853697,0.46287313,0.47557974,0.48272815,0.37952417
sub_03,Pre,1,0.22125357,0.07748531,-0.031686813,0.015816182,0.35199505,0.108251855,0.26276094,0.13917,0.20949356,-0.3390574,-0.08266787,0.22992176,0.18638922,0.10664575,0.10734505,0.10804435,0.37210703,0.2610308,0.5378552,0.46425706,0.014619001,0.08665636,-0.08733223,-0.1754888,-0.09725328,0.082348645,0.3686847,0.5184901,0.07254175,-0.22691101,0.26540023,-0.15734896,0.09610412,0.2978078,-0.16368262,0.68346745,0.8007861,0.34611326,0.34187585,0.44735044,0.42637616,0.7076605,0.5046291,0.15453388,0.3639104
sub_03,post7d,1,0.12769721,-0.1627697,-0.055706855,-0.04440211,-0.004214983,-0.06590623,-0.035315324,-0.090229005,0.088759065,0.108397655,0.063846245,-0.11841043,-0.28020343,0.28518787,0.24492614,0.20466442,-0.14899257,-0.20691694,0.12856276,0.119410686,0.086456634,0.05265127,-0.045490805,0.0044374983,-0.1416248,-0.044301,0.15578163,0.19996512,0.37203705,0.4483288,0.48436236,0.3092397,0.19040777,-0.11904188,-0.1873128,0.2373264,0.026327537,0.24568945,-0.055988856,0.3769597,0.11554442,0.13028301,0.45547706,0.16573079,0.1513172
sub_03,post3m,1,-0.07014463,-0.3922261,-0.45043996,-0.5527978,0.11087821,0.03154543,0.091608346,-0.21019101,-0.31916597,-0.03422653,-0.03376527,0.11754653,0.26030287,0.14238892,-0.031983264,-0.20635545,-0.09969297,-0.07919222,-0.031111494,-0.13808405,0.10409682,-0.04973587,0.11031377,0.10956925,-0.15471779,-0.013849961,0.42126125,0.38640007,0.4305856,0.7822822,0.3966663,0.49207962,0.21612404,0.34149113,0.8269931,0.8492,0.5536617,0.56958145,0.12516415,0.4257731,0.089171074,0.3909981,0.84211624,0.37925336,0.1812165
sub_04,Pre,3,0.28137216,0.33796844,0.4326876,0.11023856,0.5216831,0.20534074,0.19836128,0.38556874,0.2788522,0.37727207,0.19006401,0.2607159,0.47826752,0.5691078,0.47128147,0.37345517,0.14533666,0.24532168,0.46525216,0.23858163,0.19884762,0.19648983,0.15822686,0.20402767,0.3408713,0.24559885,0.4973497,0.6975204,0.58701164,0.44381762,0.99831665,0.30444893,0.6629663,0.5825073,0.36668262,-0.028683282,0.401622,0.09556902,0.36454055,0.056040555,0.40411264,0.74078745,0.5669736,0.29077846,0.42398667
sub_04,post7d,3,0.11277896,0.63329506,0.3385694,0.8250572,-0.012226643,0.047351126,0.14826156,0.18122303,0.10459222,0.22997436,0.112841584,-0.06250794,-0.088660635,0.45834556,0.5670056,0.67566556,0.17425455,0.109692365,-0.049515292,0.2823469,-0.17420955,-0.08039551,-0.2351163,-0.11485782,-0.063526794,-0.13176136,-0.48130578,-0.046452098,-0.20567532,0.0026085647,0.3255932,-0.072533615,0.10796859,-0.24373372,-0.19944723,-0.49164927,-0.11899249,-0.10609646,0.074950136,-0.031693704,0.26687056,-0.0485645,-0.2614919,0.3279386,0.30850732
sub_04,post3m,3,0.10979796,0.8198633,0.6002713,0.6423052,-0.020860333,-0.009508777,0.28121012,0.1538786,0.32176796,-0.012639686,-0.2127282,0.088780075,0.17880577,0.21105382,0.19444013,0.17782642,0.097646005,-0.019198263,0.36507803,0.3445254,-0.0038623037,0.10583208,0.082219504,0.036384143,0.1838362,0.112369806,-0.047975983,0.15684028,-0.6033185,-0.36240834,-0.27668133,-0.102482006,-0.052938104,-0.46806106,-0.42946315,-0.0579678,0.34872708,0.2778217,0.35142183,0.28227046,0.18578273,-0.16010754,-0.15259865,0.47341135,0.28775278
sub_05,Pre,3,-0.039936863,-0.2486451,-0.16854972,-0.039166927,-0.064380154,-0.04019392,-0.4894375,-0.14666688,-0.24981444,-0.32591677,-0.326781,-0.44446066,-0.6010516,-0.072483584,-0.13661419,-0.20074478,-0.1264372,-0.15953767,-0.070044406,-0.06296128,0.022903321,0.13448882,-0.0038830554,-0.053958066,0.11262558,-0.049711004,-0.06957115,-0.005742616,0.4476852,0.23352408,0.1541938,0.06753332,0.13904749,0.23411155,-0.07114119,0.08514384,-0.10874418,0.104464866,-0.1450776,0.04086928,-0.10499649,0.103920676,0.05519144,0.058305115,0.008009733
